Ar-40 + neutron, exciton state: (1,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
          16         1.78093e+23         3.14536e+23         6.60026e+22         4.38724e+22
          17         2.09849e+23         3.68852e+23         7.03076e+22         4.67799e+22
          18         2.43508e+23         4.26275e+23         7.44379e+22         4.95669e+22
          19          2.7895e+23         4.86614e+23         7.84057e+22         5.22424e+22
          20         3.16072e+23         5.49693e+23         8.22218e+22         5.48141e+22
          21         3.54774e+23         6.15355e+23         8.58961e+22          5.7289e+22
          22          3.9497e+23         6.83455e+23         8.94373e+22         5.96731e+22
          23         4.36577e+23         7.53859e+23         9.28534e+22          6.1972e+22
          24          4.7952e+23         8.26445e+23         9.61517e+22          6.4191e+22
          25         5.23732e+23           9.011e+23         9.93387e+22         6.63344e+22


