# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: 1 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26781 fm step
# l = 1 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
   2.00000   2    0.535620   -5.034719e+01   -2.609008e-01
   2.00000   2    0.803430   -5.026105e+01   -2.720593e-01
   2.00000   2    1.071240   -5.016023e+01   -2.903827e-01
   2.00000   2    1.339050   -5.000505e+01   -3.205034e-01
   2.00000   2    1.606860   -4.974937e+01   -3.698943e-01
   2.00000   2    1.874670   -4.932856e+01   -4.505023e-01
   2.00000   2    2.142480   -4.864953e+01   -5.810491e-01
   2.00000   2    2.410290   -4.758128e+01   -7.898685e-01
   2.00000   2    2.678100   -4.595098e+01   -1.117277e+00
   2.00000   2    2.945910   -4.355900e+01   -1.614330e+00
   2.00000   2    3.213720   -4.022939e+01   -2.330857e+00
   2.00000   2    3.481530   -3.589699e+01   -3.281822e+00
   2.00000   2    3.749340   -3.069307e+01   -4.387564e+00
   2.00000   2    4.017150   -2.496519e+01   -5.419400e+00
   2.00000   2    4.284960   -1.919876e+01   -6.037630e+00
   2.00000   2    4.552770   -1.386401e+01   -5.979445e+00
   2.00000   2    4.820580   -9.263808e+00   -5.262167e+00
   2.00000   2    5.088390   -5.555655e+00   -4.169570e+00
   2.00000   2    5.356200   -2.732953e+00   -3.038129e+00
   2.00000   2    5.624010   -6.834076e-01   -2.081691e+00
   2.00000   2    5.891820    7.467634e-01   -1.367254e+00
   2.00000   2    6.159630    1.709556e+00   -8.733523e-01
   2.00000   2    6.427440    2.334252e+00   -5.480389e-01
   2.00000   2    6.695250    2.721722e+00   -3.401018e-01
   2.00000   2    6.963060    2.946540e+00   -2.096225e-01
   2.00000   2    7.230870    3.061923e+00   -1.286665e-01
   2.00000   2    7.498680    3.104952e+00   -7.878052e-02
   2.00000   2    7.766490    3.101032e+00   -4.816687e-02
   2.00000   2    8.034300    3.067355e+00   -2.942616e-02
   2.00000   2    8.302110    3.015433e+00   -1.797002e-02
   2.00000   2    8.569920    2.952902e+00   -1.097246e-02
   2.00000   2    8.837730    2.884777e+00   -6.699939e-03
   2.00000   2    9.105540    2.814311e+00   -4.091643e-03
   2.00000   2    9.373350    2.743583e+00   -2.499302e-03
   2.00000   2    9.641160    2.673887e+00   -1.527076e-03
   2.00000   2    9.908970    2.606003e+00   -9.333513e-04
   2.00000   2   10.176780    2.540372e+00   -5.706795e-04
   2.00000   2   10.444590    2.477218e+00   -3.490769e-04
   2.00000   2   10.712400    2.416621e+00   -2.136243e-04
   2.00000   2   10.980210    2.358576e+00   -1.307979e-04
   2.00000   2   11.248020    2.303022e+00   -8.012947e-05
   2.00000   2   11.515830    2.249869e+00   -4.911871e-05
   2.00000   2   11.783640    2.199008e+00   -3.012924e-05
   2.00000   2   12.051450    2.150324e+00   -1.849442e-05
   2.00000   2   12.319260    2.103701e+00   -1.136138e-05
   2.00000   2   12.587070    2.059025e+00   -6.985339e-06
   2.00000   2   12.854880    2.016184e+00   -4.298721e-06
   2.00000   2   13.122690    1.975075e+00   -2.647999e-06
   2.00000   2   13.390500    1.935598e+00   -1.632886e-06
   2.00000   2   13.658310    1.897662e+00   -1.008063e-06
   2.00000   2   13.926120    1.861180e+00   -6.230870e-07
   2.00000   2   14.193930    1.826071e+00   -3.856346e-07
   2.00000   2   14.461740    1.792260e+00   -2.390051e-07
   2.00000   2   14.729550    1.759677e+00   -1.483477e-07
   2.00000   2   14.997360    1.728257e+00   -9.222222e-08
   2.00000   2   15.265170    1.697938e+00   -5.742628e-08
   2.00000   2   15.532980    1.668664e+00   -3.582159e-08
   2.00000   2   15.800790    1.640382e+00   -2.238598e-08
   2.00000   2   16.068600    1.613043e+00   -1.401655e-08
   2.00000   2   16.336410    1.586600e+00   -8.793770e-09
   2.00000   2   16.604220    1.561010e+00   -5.528551e-09
   2.00000   2   16.872030    1.536232e+00   -3.483214e-09
